ethAddress,tokenAmount
0x892857D3A0E6ca504dA54470A0d71593525Ebc22,56000000000000000000
0x8F942ECED007bD3976927B7958B50Df126FEeCb5,3396516800000000000000
0xce7298E5ef1aE8AF0573eDC2eBd03aB0F837E214,694832000000000000000
0x986ccF030A018f8190e7Cf488Ba9Fec8DF058199,16310400000000000000
0xe13d4abEe4B304b67C52A56871141caD1B833aa7,76931200000000000000
0x187dad1e0DD5e599091C2ec88E89aFB4CdE4B7a3,16310400000000000000
0x3A6E99D804746F7ec5BC2CAfe9ca5670607dfA84,46212800000000000000
0x52a75580dA8dBD285fCeAA8D928962E7363accA1,57902400000000000000
0x8f2Df304FDf70BB480F1B2Acfb7B57830103d8eB,11689600000000000000
0xb7F73311a823FA70059Cf6e22A842C3BD64c53C3,35339200000000000000
0xF91569595BCDAF780c3f1662f204E157949af8b2,8155200000000000000
0x6Af6d6B3fBa247129c32544b53106AB3bb772902,16310400000000000000
0xc29029DE05bF135a90C19F31F866F8774a39dBB6,48000000000000000000
0xbd9b7373aAc15d9A93c810dF3999343f4Fe1eD88,54368000000000000000
0x9eEC0B5Bd8A48047f0Dcc61E98B4b92951480F98,13592000000000000000
0x65D472172E4933aa4Ddb995CF4Ca8bef72a46576,10873600000000000000
0xFec33A90737254DCf9Aa33188a11f32797197F93,8155200000000000000
0x35764fd659509f60c9531f27fdb5305f85a1398b,24640000000000000000
